Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
2024-01-01 1:51 AM,42F,29F,60%,WSW,8mph,0mph,30.00in,0.0in,Cloudy
2024-01-01 2:51 AM,42F,29F,60%,W,8mph,0mph,29.99in,0.0in,Cloudy
2024-01-01 3:51 AM,42F,30F,62%,W,7mph,0mph,29.99in,0.0in,Cloudy
2024-01-01 4:51 AM,42F,30F,62%,WSW,3mph,0mph,29.98in,0.0in,Cloudy
2024-01-01 5:51 AM,41F,30F,65%,CALM,0mph,0mph,29.97in,0.0in,Cloudy
2024-01-01 6:51 AM,41F,32F,70%,WNW,6mph,0mph,29.99in,0.0in,Cloudy
2024-01-01 7:51 AM,40F,34F,79%,NW,6mph,0mph,30.00in,0.0in,Light Rain
2024-01-01 8:51 AM,40F,35F,83%,WNW,3mph,0mph,30.01in,0.0in,Light Rain
2024-01-01 9:51 AM,41F,35F,79%,WNW,6mph,0mph,30.03in,0.0in,Cloudy
2024-01-01 10:23 AM,42F,35F,76%,N,7mph,0mph,30.03in,0.0in,Cloudy
2024-01-01 10:51 AM,44F,35F,71%,N,7mph,0mph,30.03in,0.0in,Mostly Cloudy
2024-01-01 11:51 AM,44F,33F,65%,N,5mph,0mph,30.03in,0.0in,Mostly Cloudy
2024-01-01 12:51 PM,46F,34F,63%,N,5mph,0mph,30.01in,0.0in,Partly Cloudy
2024-01-01 1:51 PM,48F,33F,56%,NW,3mph,0mph,29.99in,0.0in,Mostly Cloudy
2024-01-01 2:51 PM,47F,30F,52%,NW,7mph,0mph,29.99in,0.0in,Mostly Cloudy
2024-01-01 3:51 PM,47F,30F,52%,NW,6mph,0mph,30.00in,0.0in,Mostly Cloudy
2024-01-01 4:51 PM,47F,30F,52%,NNW,8mph,0mph,30.01in,0.0in,Mostly Cloudy
2024-01-01 5:51 PM,46F,30F,54%,NNW,10mph,0mph,30.02in,0.0in,Mostly Cloudy
2024-01-01 6:51 PM,44F,29F,55%,NNW,9mph,0mph,30.04in,0.0in,Partly Cloudy
2024-01-01 7:51 PM,43F,29F,58%,NNW,12mph,0mph,30.05in,0.0in,Mostly Cloudy
2024-01-01 8:51 PM,42F,27F,55%,NNW,12mph,0mph,30.06in,0.0in,Partly Cloudy
2024-01-01 9:51 PM,40F,26F,58%,NNW,13mph,21mph,30.07in,0.0in,Fair
2024-01-01 10:51 PM,39F,25F,57%,NNW,14mph,0mph,30.08in,0.0in,Fair
2024-01-01 11:51 PM,37F,25F,62%,NNW,12mph,0mph,30.08in,0.0in,Fair
2024-01-01 12:51 AM,36F,24F,62%,NNW,9mph,0mph,30.08in,0.0in,Fair
2024-01-02 1:51 AM,35F,24F,64%,NNW,9mph,0mph,30.08in,0.0in,Fair
2024-01-02 2:51 AM,34F,23F,64%,NNW,10mph,0mph,30.08in,0.0in,Fair
2024-01-02 3:51 AM,33F,22F,64%,NNW,10mph,0mph,30.08in,0.0in,Fair
2024-01-02 4:51 AM,32F,21F,64%,N,12mph,0mph,30.09in,0.0in,Fair
2024-01-02 5:51 AM,31F,20F,64%,NNW,14mph,0mph,30.08in,0.0in,Fair
2024-01-02 6:51 AM,31F,19F,61%,NNW,12mph,0mph,30.10in,0.0in,Fair
2024-01-02 7:51 AM,31F,19F,61%,NNW,10mph,20mph,30.11in,0.0in,Fair
2024-01-02 8:51 AM,31F,20F,64%,NNW,7mph,0mph,30.12in,0.0in,Fair
2024-01-02 9:51 AM,33F,20F,59%,NNW,9mph,0mph,30.13in,0.0in,Fair
2024-01-02 10:51 AM,35F,21F,57%,NNW,10mph,0mph,30.13in,0.0in,Fair
2024-01-02 11:51 AM,38F,22F,53%,WNW,7mph,0mph,30.11in,0.0in,Fair
2024-01-02 12:51 PM,41F,22F,47%,W,5mph,0mph,30.07in,0.0in,Fair
2024-01-02 1:51 PM,43F,22F,43%,NW,8mph,0mph,30.04in,0.0in,Fair
2024-01-02 2:51 PM,44F,21F,40%,WNW,8mph,0mph,30.00in,0.0in,Fair
2024-01-02 3:51 PM,45F,22F,40%,VAR,5mph,0mph,29.99in,0.0in,Fair
2024-01-02 4:51 PM,45F,22F,40%,NW,10mph,0mph,29.98in,0.0in,Fair
2024-01-02 5:51 PM,43F,22F,43%,WNW,7mph,0mph,29.99in,0.0in,Fair
2024-01-02 6:51 PM,42F,23F,47%,W,7mph,0mph,30.00in,0.0in,Fair
2024-01-02 7:51 PM,43F,23F,45%,VAR,5mph,0mph,30.00in,0.0in,Fair
2024-01-02 8:51 PM,41F,23F,49%,WSW,7mph,0mph,30.00in,0.0in,Fair
2024-01-02 9:51 PM,39F,24F,55%,W,7mph,0mph,30.00in,0.0in,Fair
2024-01-02 10:51 PM,37F,24F,59%,WNW,7mph,0mph,30.01in,0.0in,Fair
2024-01-02 11:51 PM,36F,24F,62%,W,7mph,0mph,30.00in,0.0in,Fair
2024-01-02 12:51 AM,35F,25F,67%,W,9mph,0mph,29.99in,0.0in,Fair
2024-01-03 1:51 AM,34F,25F,70%,W,8mph,0mph,29.99in,0.0in,Fair
2024-01-03 2:51 AM,34F,25F,70%,W,6mph,0mph,29.99in,0.0in,Fair
2024-01-03 3:51 AM,33F,25F,72%,W,7mph,0mph,29.99in,0.0in,Fair
2024-01-03 4:51 AM,33F,25F,72%,W,7mph,0mph,29.99in,0.0in,Fair
2024-01-03 5:51 AM,33F,25F,72%,W,7mph,0mph,30.00in,0.0in,Fair
2024-01-03 6:51 AM,34F,25F,70%,W,5mph,0mph,30.00in,0.0in,Partly Cloudy
2024-01-03 7:51 AM,34F,25F,70%,W,7mph,0mph,30.02in,0.0in,Mostly Cloudy
2024-01-03 8:51 AM,33F,25F,72%,WSW,7mph,0mph,30.04in,0.0in,Mostly Cloudy
2024-01-03 9:51 AM,36F,25F,64%,WSW,9mph,0mph,30.05in,0.0in,Partly Cloudy
2024-01-03 10:51 AM,39F,25F,57%,W,9mph,0mph,30.05in,0.0in,Partly Cloudy
2024-01-03 11:51 AM,42F,26F,53%,NNW,9mph,0mph,30.03in,0.0in,Fair
2024-01-03 12:51 PM,44F,26F,49%,WNW,10mph,0mph,30.00in,0.0in,Partly Cloudy
2024-01-03 1:51 PM,44F,26F,49%,W,12mph,0mph,29.98in,0.0in,Mostly Cloudy
2024-01-03 2:51 PM,45F,26F,48%,WNW,14mph,0mph,29.98in,0.0in,Mostly Cloudy
