Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
1/1/2021 1:54,32F,24F,73%,N,8mph,0mph,30.34in,0.0in,Fair
1/1/2021 2:54,30F,23F,75%,N,7mph,0mph,30.36in,0.0in,Fair
1/1/2021 3:54,29F,23F,78%,N,6mph,0mph,30.38in,0.0in,Fair
1/1/2021 4:54,29F,23F,78%,N,7mph,0mph,30.37in,0.0in,Fair
1/1/2021 5:54,29F,22F,75%,N,3mph,0mph,30.39in,0.0in,Fair
1/1/2021 6:54,28F,22F,78%,CALM,0mph,0mph,30.40in,0.0in,Fair
1/1/2021 7:54,26F,22F,84%,NNE,7mph,0mph,30.39in,0.0in,Fair
1/1/2021 8:54,29F,24F,82%,CALM,0mph,0mph,30.42in,0.0in,Fair
1/1/2021 9:54,34F,28F,79%,NNE,7mph,0mph,30.43in,0.0in,Fair
1/1/2021 10:54,38F,29F,70%,NE,7mph,0mph,30.43in,0.0in,Fair
1/1/2021 11:54,40F,30F,68%,NE,9mph,0mph,30.40in,0.0in,Fair
1/1/2021 12:54,43F,33F,68%,E,9mph,0mph,30.35in,0.0in,Fair
1/1/2021 13:54,42F,34F,73%,E,10mph,0mph,30.32in,0.0in,Cloudy
1/1/2021 14:54,41F,36F,82%,ENE,3mph,0mph,30.30in,0.0in,Light Rain
1/1/2021 15:54,41F,38F,89%,NE,7mph,0mph,30.27in,0.0in,Cloudy
1/1/2021 16:52,43F,39F,87%,ENE,7mph,0mph,30.23in,0.0in,Cloudy
1/1/2021 16:54,42F,39F,89%,ENE,6mph,0mph,30.23in,0.0in,Cloudy
1/1/2021 17:31,42F,39F,89%,ENE,8mph,0mph,30.21in,0.0in,Light Rain
1/1/2021 17:54,42F,39F,89%,ENE,10mph,0mph,30.20in,0.0in,Light Rain
1/1/2021 18:54,42F,40F,92%,ENE,7mph,0mph,30.19in,0.0in,Light Rain
1/1/2021 19:30,43F,41F,93%,E,13mph,0mph,30.13in,0.1in,Rain
1/1/2021 19:54,44F,42F,93%,E,10mph,0mph,30.13in,0.1in,Rain
1/1/2021 20:18,44F,43F,96%,E,12mph,0mph,30.10in,0.0in,Rain
1/1/2021 20:54,45F,44F,97%,E,10mph,0mph,30.07in,0.1in,Light Rain
1/1/2021 21:38,46F,45F,96%,ESE,14mph,23mph,30.02in,0.1in,Rain
1/1/2021 21:54,46F,45F,96%,ESE,12mph,23mph,30.01in,0.1in,Light Rain
1/1/2021 22:01,46F,45F,96%,ESE,13mph,22mph,30.01in,0.0in,Rain
1/1/2021 22:47,47F,46F,97%,ESE,12mph,0mph,29.98in,0.2in,Rain
1/1/2021 22:54,47F,46F,97%,E,9mph,0mph,29.97in,0.2in,Heavy Rain
1/1/2021 23:34,47F,47F,100%,E,6mph,0mph,29.95in,0.1in,Rain
1/1/2021 23:54,47F,46F,97%,NNE,5mph,0mph,29.94in,0.3in,Heavy Rain
1/1/2021 0:13,47F,47F,100%,CALM,0mph,0mph,29.91in,0.1in,Light Rain
1/1/2021 0:54,48F,47F,96%,SE,8mph,0mph,29.82in,0.1in,Light Rain
1/2/2021 1:54,48F,48F,100%,NE,3mph,0mph,29.79in,0.0in,Cloudy
1/2/2021 2:07,48F,48F,100%,CALM,0mph,0mph,29.79in,0.0in,Light Rain
1/2/2021 2:17,48F,48F,100%,CALM,0mph,0mph,29.78in,0.0in,Light Rain
1/2/2021 2:54,47F,47F,100%,CALM,0mph,0mph,29.78in,0.0in,Light Rain
1/2/2021 3:32,47F,47F,100%,W,3mph,0mph,29.77in,0.0in,Fog
1/2/2021 3:54,48F,47F,96%,WSW,3mph,0mph,29.77in,0.0in,Fog
1/2/2021 4:04,48F,48F,100%,W,3mph,0mph,29.76in,0.0in,Fog
1/2/2021 4:06,48F,48F,100%,W,3mph,0mph,29.76in,0.0in,Fog
1/2/2021 4:29,48F,48F,100%,CALM,0mph,0mph,29.74in,0.0in,Fog
1/2/2021 4:44,48F,48F,100%,WSW,7mph,0mph,29.73in,0.0in,Fog
1/2/2021 4:54,49F,48F,97%,SW,8mph,0mph,29.73in,0.0in,Cloudy
1/2/2021 5:44,49F,48F,97%,WSW,13mph,21mph,29.70in,0.0in,Cloudy
1/2/2021 5:54,49F,47F,93%,WSW,14mph,21mph,29.70in,0.0in,Cloudy
1/2/2021 6:14,48F,47F,96%,WSW,14mph,24mph,29.70in,0.0in,Cloudy
1/2/2021 6:54,46F,45F,96%,WSW,14mph,24mph,29.70in,0.0in,Cloudy
1/2/2021 7:03,45F,44F,97%,W,18mph,30mph,29.71in,0.0in,Cloudy
1/2/2021 7:16,45F,44F,97%,W,16mph,29mph,29.72in,0.0in,Cloudy
1/2/2021 7:54,44F,42F,93%,W,13mph,32mph,29.75in,0.0in,Cloudy
1/2/2021 8:54,43F,41F,93%,W,14mph,0mph,29.77in,0.0in,Cloudy
1/2/2021 9:54,43F,41F,93%,W,9mph,0mph,29.78in,0.0in,Mostly Cloudy
1/2/2021 10:09,44F,41F,89%,W,13mph,23mph,29.78in,0.0in,Fair
1/2/2021 10:54,47F,42F,83%,W,9mph,21mph,29.79in,0.0in,Fair
1/2/2021 11:54,53F,43F,69%,WNW,21mph,33mph,29.80in,0.0in,Fair / Windy
1/2/2021 12:54,56F,43F,62%,WNW,18mph,35mph,29.79in,0.0in,Fair
1/2/2021 13:54,54F,40F,59%,WNW,23mph,38mph,29.80in,0.0in,Cloudy / Windy
1/2/2021 14:54,55F,40F,57%,WNW,23mph,32mph,29.81in,0.0in,Fair / Windy
1/2/2021 15:54,55F,39F,55%,WNW,17mph,26mph,29.85in,0.0in,Mostly Cloudy
1/2/2021 16:54,51F,38F,61%,WNW,14mph,0mph,29.91in,0.0in,Fair
1/2/2021 17:54,48F,38F,68%,NW,10mph,0mph,29.92in,0.0in,Fair
1/2/2021 18:54,47F,37F,68%,NW,12mph,0mph,29.96in,0.0in,Fair
1/2/2021 19:54,46F,36F,68%,NNW,13mph,0mph,29.98in,0.0in,Fair
1/2/2021 20:54,45F,35F,68%,NNW,10mph,0mph,29.98in,0.0in,Fair
1/2/2021 21:54,42F,34F,73%,NNW,8mph,0mph,30.00in,0.0in,Fair
1/2/2021 22:54,41F,32F,70%,NW,8mph,0mph,30.01in,0.0in,Fair
1/2/2021 23:54,39F,31F,73%,N,7mph,0mph,30.03in,0.0in,Fair
1/2/2021 0:54,37F,30F,76%,N,3mph,0mph,30.02in,0.0in,Fair
1/3/2021 1:54,37F,31F,79%,NNE,7mph,0mph,29.99in,0.0in,Fair
1/3/2021 2:54,36F,30F,79%,NE,8mph,0mph,29.98in,0.0in,Fair
1/3/2021 3:54,36F,29F,76%,CALM,0mph,0mph,30.03in,0.0in,Fair
1/3/2021 4:54,35F,30F,82%,NNE,7mph,0mph,29.99in,0.0in,Fair
1/3/2021 5:54,37F,31F,79%,E,7mph,0mph,29.93in,0.0in,Fair
1/3/2021 6:54,39F,34F,82%,NNW,3mph,0mph,30.02in,0.0in,Mostly Cloudy
1/3/2021 7:54,41F,38F,89%,ENE,8mph,0mph,29.98in,0.0in,Light Rain
1/3/2021 8:25,41F,39F,93%,NNE,7mph,0mph,30.01in,0.0in,Rain
1/3/2021 8:50,41F,39F,93%,ENE,6mph,0mph,30.00in,0.1in,Rain
