Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
2019-01-01 1:51 AM,46F,46F,100%,CALM,0mph,0mph,29.73in,0.1in,Light Rain
2019-01-01 2:51 AM,47F,46F,97%,CALM,0mph,0mph,29.67in,0.0in,Light Rain
2019-01-01 3:45 AM,46F,46F,100%,SW,3mph,0mph,29.62in,0.0in,Fog
2019-01-01 3:51 AM,47F,47F,100%,WSW,5mph,0mph,29.62in,0.0in,Fog
2019-01-01 4:15 AM,47F,47F,100%,W,6mph,0mph,29.63in,0.0in,Light Rain
2019-01-01 4:20 AM,47F,47F,100%,WNW,6mph,0mph,29.63in,0.0in,Fog
2019-01-01 4:51 AM,51F,51F,100%,WSW,13mph,0mph,29.61in,0.0in,Light Drizzle
2019-01-01 4:55 AM,51F,51F,100%,WSW,10mph,0mph,29.60in,0.0in,Light Drizzle
2019-01-01 5:41 AM,52F,52F,100%,SW,8mph,0mph,29.58in,0.0in,Cloudy
2019-01-01 5:51 AM,52F,52F,100%,WSW,10mph,0mph,29.58in,0.0in,Cloudy
2019-01-01 6:51 AM,56F,54F,93%,WSW,15mph,0mph,29.61in,0.0in,Cloudy
2019-01-01 7:14 AM,56F,54F,93%,WSW,16mph,0mph,29.61in,0.0in,Cloudy
2019-01-01 7:51 AM,56F,53F,90%,WSW,18mph,28mph,29.60in,0.0in,Mostly Cloudy
2019-01-01 8:51 AM,56F,53F,90%,SW,17mph,0mph,29.63in,0.0in,Cloudy
2019-01-01 9:51 AM,58F,52F,81%,WSW,17mph,31mph,29.67in,0.0in,Cloudy
2019-01-01 10:51 AM,58F,48F,70%,W,24mph,36mph,29.71in,0.0in,Mostly Cloudy / Windy
2019-01-01 11:51 AM,58F,45F,62%,W,22mph,31mph,29.75in,0.0in,Mostly Cloudy / Windy
2019-01-01 12:51 PM,57F,41F,55%,NW,20mph,29mph,29.78in,0.0in,Mostly Cloudy
2019-01-01 1:51 PM,56F,37F,49%,NNW,29mph,35mph,29.80in,0.0in,Mostly Cloudy / Windy
2019-01-01 2:51 PM,54F,35F,49%,NW,23mph,32mph,29.85in,0.0in,Mostly Cloudy / Windy
2019-01-01 3:51 PM,50F,34F,54%,NW,24mph,32mph,29.92in,0.0in,Mostly Cloudy / Windy
2019-01-01 4:51 PM,49F,32F,52%,NW,17mph,35mph,29.97in,0.0in,Mostly Cloudy
2019-01-01 5:51 PM,47F,31F,54%,NW,14mph,22mph,30.01in,0.0in,Mostly Cloudy
2019-01-01 6:51 PM,46F,31F,56%,NW,15mph,23mph,30.04in,0.0in,Mostly Cloudy
2019-01-01 7:51 PM,45F,31F,58%,NNW,12mph,0mph,30.07in,0.0in,Mostly Cloudy
2019-01-01 8:51 PM,44F,31F,60%,NNW,14mph,0mph,30.10in,0.0in,Mostly Cloudy
2019-01-01 9:51 PM,44F,30F,58%,NNW,15mph,23mph,30.12in,0.0in,Mostly Cloudy
2019-01-01 10:51 PM,43F,27F,53%,NW,17mph,0mph,30.12in,0.0in,Mostly Cloudy
2019-01-01 11:51 PM,42F,26F,53%,NW,13mph,0mph,30.13in,0.0in,Mostly Cloudy
2019-01-01 12:51 AM,40F,25F,55%,NNW,8mph,0mph,30.15in,0.0in,Mostly Cloudy
2019-01-02 1:51 AM,39F,24F,55%,NNW,15mph,0mph,30.17in,0.0in,Mostly Cloudy
2019-01-02 2:51 AM,38F,23F,55%,NW,15mph,0mph,30.20in,0.0in,Mostly Cloudy
2019-01-02 3:51 AM,36F,25F,64%,N,10mph,0mph,30.23in,0.0in,Mostly Cloudy
2019-01-02 4:51 AM,36F,23F,59%,NNW,10mph,0mph,30.23in,0.0in,Mostly Cloudy
2019-01-02 5:51 AM,35F,23F,61%,NNW,12mph,0mph,30.23in,0.0in,Mostly Cloudy
2019-01-02 6:51 AM,35F,22F,59%,N,7mph,0mph,30.26in,0.0in,Mostly Cloudy
2019-01-02 7:51 AM,35F,21F,57%,NW,9mph,0mph,30.30in,0.0in,Mostly Cloudy
2019-01-02 8:51 AM,35F,21F,57%,NNW,5mph,0mph,30.31in,0.0in,Cloudy
2019-01-02 9:51 AM,36F,21F,55%,N,6mph,0mph,30.33in,0.0in,Cloudy
2019-01-02 10:51 AM,37F,23F,57%,N,6mph,0mph,30.34in,0.0in,Cloudy
2019-01-02 11:51 AM,38F,22F,53%,VAR,5mph,0mph,30.33in,0.0in,Mostly Cloudy
2019-01-02 12:51 PM,39F,23F,53%,VAR,5mph,0mph,30.31in,0.0in,Mostly Cloudy
2019-01-02 1:51 PM,40F,23F,51%,VAR,3mph,0mph,30.28in,0.0in,Mostly Cloudy
2019-01-02 2:51 PM,40F,22F,49%,CALM,0mph,0mph,30.27in,0.0in,Mostly Cloudy
2019-01-02 3:51 PM,39F,25F,57%,SSE,7mph,0mph,30.26in,0.0in,Cloudy
2019-01-02 4:51 PM,38F,25F,60%,SSE,7mph,0mph,30.24in,0.0in,Cloudy
2019-01-02 5:51 PM,37F,26F,65%,SE,8mph,0mph,30.24in,0.0in,Cloudy
2019-01-02 6:51 PM,37F,26F,65%,SE,8mph,0mph,30.23in,0.0in,Cloudy
2019-01-02 7:51 PM,38F,26F,62%,SSE,6mph,0mph,30.22in,0.0in,Cloudy
2019-01-02 8:51 PM,38F,26F,62%,SSE,8mph,0mph,30.19in,0.0in,Cloudy
2019-01-02 9:51 PM,38F,26F,62%,SSE,7mph,0mph,30.16in,0.0in,Cloudy
2019-01-02 10:51 PM,39F,28F,65%,SSE,5mph,0mph,30.12in,0.0in,Cloudy
2019-01-02 11:51 PM,40F,29F,65%,S,8mph,0mph,30.09in,0.0in,Cloudy
2019-01-02 12:51 AM,40F,31F,70%,SE,3mph,0mph,30.06in,0.0in,Cloudy
2019-01-02 12:54 AM,40F,31F,70%,SE,3mph,0mph,30.07in,0.0in,Cloudy
2019-01-03 1:11 AM,40F,31F,70%,S,3mph,0mph,30.06in,0.0in,Light Rain
2019-01-03 1:51 AM,40F,32F,73%,CALM,0mph,0mph,30.04in,0.0in,Light Rain
2019-01-03 2:48 AM,39F,34F,81%,CALM,0mph,0mph,30.01in,0.0in,Cloudy
2019-01-03 2:51 AM,40F,34F,79%,CALM,0mph,0mph,30.01in,0.0in,Cloudy
2019-01-03 3:51 AM,41F,36F,82%,CALM,0mph,0mph,29.95in,0.0in,Light Rain
2019-01-03 4:51 AM,42F,36F,79%,SSE,3mph,0mph,29.89in,0.0in,Cloudy
2019-01-03 5:36 AM,42F,37F,82%,SSW,3mph,0mph,29.88in,0.0in,Cloudy
2019-01-03 5:51 AM,42F,37F,82%,CALM,0mph,0mph,29.87in,0.0in,Cloudy
2019-01-03 6:51 AM,42F,37F,82%,WSW,3mph,0mph,29.87in,0.0in,Cloudy
2019-01-03 7:51 AM,42F,37F,82%,WSW,9mph,0mph,29.86in,0.0in,Mostly Cloudy
2019-01-03 8:28 AM,42F,36F,79%,WSW,12mph,0mph,29.87in,0.0in,Mostly Cloudy
2019-01-03 8:40 AM,41F,36F,82%,WSW,10mph,0mph,29.87in,0.0in,Cloudy
2019-01-03 8:51 AM,41F,36F,82%,WSW,9mph,0mph,29.87in,0.0in,Cloudy
2019-01-03 9:07 AM,42F,36F,79%,WSW,10mph,0mph,29.88in,0.0in,Mostly Cloudy
2019-01-03 9:51 AM,42F,36F,79%,W,13mph,0mph,29.89in,0.0in,Mostly Cloudy
2019-01-03 10:51 AM,42F,36F,79%,WNW,15mph,0mph,29.91in,0.0in,Mostly Cloudy
2019-01-03 11:51 AM,44F,33F,65%,NW,13mph,0mph,29.91in,0.0in,Mostly Cloudy
2019-01-03 12:51 PM,42F,33F,70%,NNW,22mph,0mph,29.91in,0.0in,Light Rain / Windy
2019-01-03 1:51 PM,44F,28F,53%,NW,15mph,28mph,29.91in,0.0in,Mostly Cloudy
2019-01-03 2:51 PM,43F,25F,49%,NNW,20mph,30mph,29.91in,0.0in,Mostly Cloudy
2019-01-03 3:51 PM,44F,24F,45%,NW,15mph,0mph,29.93in,0.0in,Mostly Cloudy
2019-01-03 4:51 PM,42F,24F,49%,WNW,10mph,22mph,29.94in,0.0in,Mostly Cloudy
2019-01-03 5:51 PM,40F,23F,51%,NW,12mph,0mph,29.96in,0.0in,Mostly Cloudy
2019-01-03 6:51 PM,39F,23F,53%,NW,9mph,0mph,29.98in,0.0in,Partly Cloudy
2019-01-03 7:51 PM,39F,23F,53%,NW,7mph,0mph,30.01in,0.0in,Mostly Cloudy
2019-01-03 8:51 PM,38F,24F,57%,N,8mph,0mph,30.01in,0.0in,Partly Cloudy
2019-01-03 9:51 PM,38F,24F,57%,WSW,6mph,0mph,30.02in,0.0in,Mostly Cloudy
2019-01-03 10:51 PM,36F,24F,62%,SSW,7mph,0mph,30.01in,0.0in,Partly Cloudy
2019-01-03 11:51 PM,35F,25F,67%,WSW,8mph,0mph,30.00in,0.0in,Partly Cloudy
2019-01-03 12:51 AM,35F,26F,70%,WSW,6mph,0mph,29.99in,0.0in,Partly Cloudy
2019-01-04 1:51 AM,33F,25F,72%,WSW,6mph,0mph,30.01in,0.0in,Partly Cloudy
2019-01-04 2:51 AM,32F,25F,75%,WSW,7mph,0mph,30.01in,0.0in,Fair
2019-01-04 3:51 AM,32F,25F,75%,WSW,6mph,0mph,30.01in,0.0in,Fair
2019-01-04 4:51 AM,30F,24F,79%,SW,7mph,0mph,30.00in,0.0in,Fair
2019-01-04 5:51 AM,30F,24F,79%,SW,6mph,0mph,29.99in,0.0in,Fair
2019-01-04 6:51 AM,30F,24F,79%,SW,6mph,0mph,29.99in,0.0in,Partly Cloudy
2019-01-04 7:51 AM,30F,25F,82%,SW,8mph,0mph,29.99in,0.0in,Partly Cloudy
